SG_SG,SG_PL,PL_SG,PL_PL,sent
-27.583499719211797,-30.13614351724144,-31.946089071428588,-29.3289902807882,offender
-26.24109705418721,-26.19311858866989,-31.440602256157604,-28.529096820197033,official
-31.73830891871915,-33.463942588669966,-35.740360448275844,-32.378418458128074,oiler
-26.52658367487686,-28.35352434482761,-31.36605776354681,-28.097159642857147,operator
-25.513412231527113,-28.01597853694579,-30.3069131871921,-27.298099832512303,opponent
-27.729390571428574,-30.223364844827557,-32.45852074137935,-29.811605625615762,organism
-29.952034009852234,-31.45746065024632,-34.520147812807934,-31.95819946551724,originator
-29.727669495073904,-29.801053943349714,-32.30454215763546,-29.217491778325115,orphan
-30.08205036206897,-30.953758103448294,-34.881554467980244,-31.259194241379266,outcast
-32.27424242610841,-33.022783687192025,-35.68329479556644,-33.20612703448273,outdoorsman
-28.11142614285714,-28.97829597536948,-32.26942659359603,-28.951007337438426,outsider
-30.479131371921092,-32.097205896551735,-33.55109287438422,-30.26217294581285,overlord
-25.70071611083745,-28.010774327586216,-30.251008906403943,-27.138087672413782,owner
-30.227720359605932,-29.8993136600985,-35.02001734975371,-31.60549145566501,pacifist
-31.42384193596059,-31.810331701970487,-32.50733520689653,-30.40021528817731,pal
-34.67884624137937,-36.17142313300493,-38.877106337438384,-35.796386635468025,palaeontologist
-32.19146022413792,-33.745055977832486,-36.47996627093598,-33.44940351970444,paleontologist
-31.629113315270928,-31.467649529556642,-35.21607353201971,-31.907644389162588,pansy
-32.360865706896526,-33.598633472906386,-36.6586354926109,-33.58962418226603,parachutist
-32.299919366995056,-32.555016576354696,-36.96161466256158,-33.698187630541874,paraplegic
-28.659749061576363,-30.20254649261085,-33.08091340886701,-29.93682840147786,parasite
-26.41120424137929,-27.306558389162568,-30.082127172413784,-26.62276337684725,parent
-30.58310352463053,-32.28357552463049,-33.90097622660101,-31.1337240788177,parliamentarian
-28.362078300492612,-29.842559083743787,-33.07954453448283,-29.70014862315273,parrot
-28.01635765024632,-29.99871405665027,-31.72389343596061,-28.84028540394085,participant
-30.864846559113325,-30.09211880541875,-33.3168923251232,-29.95960901970438,partisan
-26.72023894827588,-28.27286217980296,-32.151363822660024,-28.878308566502465,partner
-24.107433386699494,-25.72924208128082,-31.493753701970416,-28.18511898029555,party
