ss,pp,sent,s_freq,p_freq,freq
3.404161338806155,2.3085920562744136,classmate,285,358,643
4.597455093383786,2.0860117568969656,client,849,738,1587
3.9803059616088774,2.994216865539542,climatologist,5,11,16
4.026104263305669,2.2006399154663114,clone,530,430,960
3.031322692871086,1.8200214309692413,closer,3303,30,3333
4.008253822326651,2.61394689941406,coder,5,8,13
3.701450912475579,2.178055694580074,collector,1208,673,1881
3.687845710754395,3.03913249206542,combatant,110,295,405
3.5641832809448175,2.9397340087890598,comer,60,26,86
4.014168464660649,2.595224128723153,commander,11359,1979,13338
3.7780830764770528,3.2043739395141557,commentator,705,1446,2151
3.9339238128662117,2.380657127380374,commoner,103,226,329
3.952966743469233,2.202006584167485,communicator,55,23,78
3.602090995788565,2.7153775787353567,companion,1945,908,2853
3.731137580871575,2.8969498596191485,compatriot,106,120,226
3.253619834899901,1.7479799880981375,competition,8431,1677,10108
4.04045442962645,3.0364758987426725,competitor,670,1164,1834
3.400790390014649,2.7223922500610414,computer,6158,1189,7347
3.7372954254150343,2.868931732177728,comrade,138,420,558
3.7905843429565422,2.0956792373657294,confessor,201,12,213
3.766993103027346,2.1207844314575155,confidant,112,27,139
3.3337497634887683,2.5733036880493216,congener,28,32,60
3.8048135223388755,3.280526542663573,conquistador,73,91,164
3.1608726730346746,2.5469607772827203,conservative,3913,1056,4969
3.818512870788581,2.3673048782348616,conservator,35,47,82
3.2821270217895417,3.0972366790771417,consumer,1085,700,1785
2.5972791290283226,2.9419987640380896,contemporary,7271,1034,8305
4.027045333862304,2.534992607116692,contender,690,440,1130
3.964738021850586,2.89473449707031,contestant,600,631,1231
3.42477600860596,2.811399223327655,contractor,517,456,973
3.8108786468505897,3.069744972229003,controller,1077,450,1527
2.788727226257322,2.7091160736084063,coon,178,31,209
2.8926961441039936,2.739091110229495,copycat,47,4,51
3.7939505844116184,2.3711475753784157,correspondent,740,161,901
4.058165428161615,2.026684806823731,cosmonaut,67,73,140
3.602016014099121,2.7722379837036186,cottager,4,12,16
3.261996925354005,1.5328012313842763,counter,3737,237,3974
3.8498369369506946,2.213707351684569,courier,460,52,512
3.6879861450195364,2.9721594696044917,cousin,2123,509,2632
3.3953783035278278,1.9480975189208891,coward,412,47,459
3.2728457565307565,1.7847218551635677,cowboy,511,523,1034
3.5331944122314454,2.6108075714111365,crab,499,351,850
3.739640304565434,2.1558978271484364,craftsman,132,259,391
3.2642677993774214,2.6093994369506746,crawler,42,21,63
3.5990773773193325,3.1894037704467877,creator,2950,871,3821
3.9600135116577135,3.2406552810668927,creature,1566,1534,3100
3.7740997772216716,1.919553474426273,creditor,49,282,331
3.4789085006713805,1.553000068664545,creeper,61,18,79
3.7584969482421826,-0.5637144241332948,cripple,127,24,151
3.349972465515137,2.423724807739248,crony,9,21,30
3.1434857788085893,2.636055061340336,crossbreed,15,11,26
3.3082226028442534,3.00473853302001,crusader,424,719,1143
2.5402766799926866,2.6240283279418932,cultist,4,22,26
3.0306857223510733,2.671229583740228,cyborg,102,17,119
3.5034531097412156,2.474556526184074,dancer,921,1857,2778
3.467652137756353,2.3110509872436467,darling,422,8,430
3.9609117355346726,2.958894309997561,debater,31,12,43
3.5676872558593615,2.0277884216308593,debtor,50,156,206
2.7912007369995138,2.4039028167724723,decoder,16,4,20
3.9642661285400393,2.6131798477172907,defender,1208,1711,2919
3.3710334320068256,3.0690416336059627,deist,23,23,46
3.8802802886962766,2.366433418273928,demigod,56,26,82
3.455113502502442,2.669755462646478,democrat,1048,2107,3155
3.7150982131957946,2.4441337966918937,demon,1286,830,2116
3.5069092025756703,2.6502780838012683,denier,26,74,100
3.7447271194457983,2.349462623596196,denizen,13,48,61
4.07047723388672,2.7690738906860304,descendant,584,1249,1833
3.48470414733886,2.643858161926275,descendent,53,64,117
4.223576637268074,1.8629052505493107,deserter,44,163,207
3.4824993057251064,3.046197807312012,designer,3003,1167,4170
3.361904670715319,2.808133506774901,destroyer,2451,2839,5290
3.712843223571781,3.101958892822246,developer,1287,2254,3541
3.686967788696286,2.615871147155765,devotee,164,289,453
3.95413655853271,1.7096169204711913,dictator,558,69,627
3.431422584533678,2.4710286788940294,diploid,102,3,105
3.8757724227905257,2.205096878051755,director,16935,2898,19833
