SG_SG,SG_PL,PL_SG,PL_PL,sent
-60.0431088180542,-62.75747657012939,-66.5630846710205,-68.44291297149658,initiate
-62.45795841217041,-67.30436353302002,-64.26222970581054,-63.34307807922363,initiator
-56.12861251831055,-61.2478232421875,-62.02166886138916,-61.299637466430674,instigator
-58.63534034729004,-62.48378523254394,-57.50563175964356,-56.182064445495605,insurgent
-54.25156844329834,-57.672949157714854,-59.360726814270016,-57.97914905548096,intellectual
-60.10822318267822,-65.31078734588623,-62.35747743988037,-60.419803581237794,interloper
-57.30898366546631,-61.697551147460935,-64.47077410888672,-62.59647944641113,internationalist
-57.140943496704104,-61.56317986297607,-61.8592265625,-61.67404412078857,interpreter
-58.47042800140381,-61.605597145080566,-60.37773072052002,-61.58186375427246,intimate
-54.0799462890625,-59.64804864501953,-59.715270278930674,-59.152262397766115,intruder
-57.01353920745849,-62.60733003997803,-62.635576271057126,-62.29206128692627,inventor
-60.73643207550049,-66.5188143081665,-63.421096656799314,-63.59843354034424,investigator
-61.871623245239256,-66.74585640716553,-61.36639539337158,-60.16421676635742,investor
-58.503813751220704,-61.45455030059814,-67.03228820037842,-65.2023352355957,irregular
-60.743625,-65.86928405761721,-58.60976506042481,-56.12541883087158,islander
-61.72948720550537,-66.27579413604737,-64.34264744567871,-62.66052671813965,isolationist
-55.68987839508057,-61.2795365524292,-60.78693841552735,-61.66926580810547,judge
-65.45869329071044,-71.0624878616333,-78.01138369750977,-75.25424488830565,jumper
-57.96096398162842,-61.443816650390616,-56.55053916168213,-53.48729212188721,junior
-57.749818222045896,-63.27698397064209,-66.24601736450195,-66.61171253204346,jurist
-56.20744348144531,-60.60709563446045,-61.714939498901366,-58.6851067276001,juvenile
-57.38677578735353,-62.84576919555664,-57.93001540374756,-54.336432868957516,kid
-59.069330307006844,-64.63708200836182,-62.06313489532471,-61.04195970916748,kidnapper
-52.30764867401123,-57.16207263946533,-56.78643193817139,-55.11040549468994,killer
-63.27227247619629,-66.30825197601318,-61.91337348175049,-62.01963102722168,knocker
-56.42646159362793,-59.82258410644531,-65.55352201843262,-63.07203010559082,lamb
-59.19211115264893,-64.71213553619384,-60.32444723510742,-58.87725980377197,lawgiver
-61.34157440185547,-66.97940106201172,-64.68230192565917,-64.68491539764405,lawmaker
-56.22757151031494,-60.93769513702392,-64.09479590606689,-62.89095305633545,layperson
-57.95700419616699,-63.15726197052002,-62.02939509582521,-60.63718643951416,leader
-61.094192832946774,-66.16409382629395,-68.96248153686524,-65.79481424713134,learner
-56.02160683441162,-59.99718106842041,-63.2240718460083,-62.39515511322021,leech
-70.41343238067627,-74.11042125701904,-67.4055407333374,-65.1049094619751,lefty
-57.43943869018555,-61.03736170196533,-58.24366725921631,-56.790621139526365,liberal
