Noun,SV_Simple_s,SV_Simple_p,SV_SubjRelClause_s,SV_SubjRelClause_p,SV_SentComp_s,SV_SentComp_p,SV_PP_s,SV_PP_p,SV_ObjRelClauseThat_s,SV_ObjRelClauseThat_p,SV_ObjRelClauseNoThat_s,SV_ObjRelClauseNoThat_p,RA_Simple_s,RA_Simple_p,RA_SentComp_s,RA_SentComp_p,RA_ObjRelClauseThat_s,RA_ObjRelClauseThat_p,RA_ObjRelClauseNoThat_s,RA_ObjRelClauseNoThat_p,wikitext_s_freq,wikitext_p_freq,webtext_s_freqs,webtext_p_freqs
animal,0.3825285262690054,-0.2344214554413059,0.2521851372070616,-1.6706505259986555,1.329551119046903,0.7599763428049586,0.7231064319206558,0.26671045760185985,0.7811168893332306,0.15119184623220586,1.4227924950496953,-0.09954767968080334,-0.792472552349859,1.4421011817144167,-0.7233529383341126,1.3559018195665657,-0.7871855993122384,0.9324875993814496,-0.5338443065940972,1.2319899715258094,5978,7775,376786,323086
animator,0.26683824539240497,-0.41345314327608573,0.3181074481879299,-0.7083200822572655,0.9536088613886253,-0.4160332880046287,0.6253719908997423,0.007283658073454269,1.1636278894985774,-0.901800773654182,0.9421072918589651,-1.2599324507968266,0.7623847129720553,-1.4773089064508445,0.6759780372591156,-1.322719577889687,0.6743245719571691,-0.6798843439650789,0.8007762153182933,-1.0516868455997752,391,736,8445,7778
antagonist,-0.25412042674956287,-0.07713925738736763,-1.1998489337039016,-0.4326788430598931,0.7120665491239826,0.4171470586002568,0.12009461514686903,0.366660449285967,-0.845988912578027,-1.016545578575304,-0.025126703830886797,-0.4809800774635877,0.2089079066155909,-0.17848330814108207,-0.21355260921745164,0.33881294945381246,-0.17005576157517946,0.2027126501278665,0.08209643732297539,0.23972700179004336,884,345,12276,6215
antiquarian,-1.67292821558064,0.37758716163901074,-0.9358211010758748,-0.7889647241789308,-1.161318005727537,-0.35207127674054317,-0.30215904021941126,-0.1262400879493259,-0.8990051001588002,-1.0383020314636395,0.27629073992095854,-1.8564206595957176,0.7334529129685174,-0.9276909078117614,0.851609794870523,-1.6457267359532617,0.7371163419929909,-1.1545088574325675,-0.5306977987477267,-0.9628307121491863,296,37,1833,197
antiquary,-0.17634089902944167,-0.3446987694892989,-0.34184870985455856,-1.8220284565435267,-0.8358985104027571,-0.7691904494171758,0.15727234154015968,-1.0331755859092144,-2.4471595129058743,-0.10682397457365372,-0.36915841663905613,-1.4742034524200327,1.2200092268968006,-1.8191099818140006,1.4072946002835724,-2.204983277800473,1.114230125207582,-0.9218949002863155,0.8755599252527088,-1.2758421638608848,61,75,125,240
ape,0.3530019909708386,0.8318883827868603,-0.7813523019793462,-1.2059046095523223,1.2229910094304053,0.7593928136131219,0.08706910662509076,0.6026067460006028,0.33050025456941057,0.3056683511605959,0.8925496129725576,-0.046600442570414354,0.61735084845979,0.47055730543421664,0.190320615099588,1.1391801240713226,0.790731844645066,0.549003134602263,0.8188362315397513,0.20649668600280036,207,372,11422,13950
apologist,-0.006778382186325829,2.7479466190406434,0.0592032053823684,1.4633093448686056,0.2158177357785036,1.691422667326731,1.210889192669098,1.9163704117154987,-0.09037267051869745,-2.2513111735643205,-0.28068231826487994,0.7546421901562373,0.4331826759584982,-0.30601714489296794,0.34548695088969383,-0.6233613004427795,0.33071731885765854,-2.5734685206779417,0.23987131649657167,-1.0245171756100908,31,24,4324,8652
apostate,-1.3334574674050144,-0.46542375954902465,0.32529203697856646,-0.15080951386673966,-0.5855784988966057,0.5172227499097307,0.6993732677097653,-0.05757368429283666,-0.40282408509020573,-0.02465437186459757,-1.1937282161242586,0.4107465938746853,0.6163401987997627,-0.8701450304653758,0.7951269334895033,-1.1328642601145105,0.8164430153655362,-0.6288317183916022,0.15794307553933165,-0.8318557168204854,27,9,2730,2622
applicant,0.6028102506848404,-0.8269306576304296,-1.164401077059542,-0.9966309934629781,0.6329733443094709,-0.15644669876019243,-2.3535303033706034,-0.8597406047531193,-0.7058412512173624,-0.9493422661428454,-1.2705136158749326,-0.3148699606073796,-0.08227255728150439,0.8779919430441129,0.07121861176828044,0.9278969216529662,-0.6469959666788345,-0.6370211546282334,-0.5542671118133183,-0.42507416885616434,269,385,21197,49503
appointee,1.5868097848657454,0.3767729473285069,2.2604150705191772,1.3711562583909678,1.1473292071563705,0.8334138563955888,0.9944324438923089,0.6284090440967072,1.7040963789977384,0.5979984974783292,1.2037771673358646,0.9658328110857384,0.40584453879365734,-0.8455796783460685,0.2889843152701798,-1.2049452771211466,0.2763314802322109,-0.310109740831391,0.6935966291659694,-0.5729676618770052,73,147,7152,11733
